Volatility 3 Framework 2.7.0

Offset	Type	DriverName	DeviceName	DriverNameOfAttDevice	DeviceType

0xc6091bc84c40	DRV	intelpep	N/A	N/A	N/A
0xc6091bc989a0	DRV	Telemetry	N/A	N/A	N/A
0xc6091bca2de0	DRV	Wdf01000	N/A	N/A	N/A
* 0xc6091bca2de0	DEV	Wdf01000	KMDF0	N/A	FILE_DEVICE_UNKNOWN
0xc6091bca7c00	DRV	bowser	N/A	N/A	N/A
* 0xc6091bca7c00	DEV	bowser	LanmanDatagramReceiver	N/A	FILE_DEVICE_NETWORK_BROWSER
0xc6091bca7e20	DRV	MsQuic	N/A	N/A	N/A
0xc6091bcc5de0	DRV	acpiex	N/A	N/A	N/A
* 0xc6091bcc5de0	DEV	acpiex	RESOURCE_HUB	N/A	FILE_DEVICE_UNKNOWN
0xc6091bce4db0	DRV	WMIxWDM	N/A	N/A	N/A
* 0xc6091bce4db0	DEV	WMIxWDM	WMIDataDevice	N/A	FILE_DEVICE_UNKNOWN
0xc6091bcf0e00	DRV	PnpManager	N/A	N/A	N/A
* 0xc6091bcf0e00	DEV	PnpManager	0000000e	N/A	FILE_DEVICE_CONTROLLER
** 0xc6091bcf0e00	ATT	PnpManager	RdpBus	\Driver\rdpbus	UNKNOWN
0xc6091bd06e00	DRV	SoftwareDevice	N/A	N/A	N/A
* 0xc6091bd06e00	DEV	SoftwareDevice	00000083	N/A	FILE_DEVICE_UNKNOWN
0xc6091bd08e00	DRV	DeviceApi	N/A	N/A	N/A
* 0xc6091bd08e00	DEV	DeviceApi	DeviceApi	N/A	FILE_DEVICE_UNKNOWN
0xc6091bd0fe20	DRV	Ndu	N/A	N/A	N/A
* 0xc6091bd0fe20	DEV	Ndu	NduIoDevice	N/A	FILE_DEVICE_NETWORK
0xc6091bd1be20	DRV	CNG	N/A	N/A	N/A
* 0xc6091bd1be20	DEV	CNG	CNG	N/A	UNKNOWN
0xc6091bd1fa80	DRV	SgrmAgent	N/A	N/A	N/A
* 0xc6091bd1fa80	DEV	SgrmAgent	MSSGRMAGENTSYS	N/A	FILE_DEVICE_UNKNOWN
0xc6091bd4ca80	DRV	ACPI	N/A	N/A	N/A
* 0xc6091bd4ca80	DEV	ACPI	-	N/A	FILE_DEVICE_ACPI
** 0xc6091bd4ca80	ATT	ACPI	RaidPort1	\Driver\storahci	FILE_DEVICE_CONTROLLER
0xc6091bd50a80	DRV	WindowsTrustedRTProxy	N/A	N/A	N/A
0xc6091bd59c80	DRV	WindowsTrustedRT	N/A	N/A	N/A
* 0xc6091bd59c80	DEV	WindowsTrustedRT	WindowsTrustedRT	N/A	FILE_DEVICE_UNKNOWN
0xc6091bd93e50	DRV	lltdio	N/A	N/A	N/A
* 0xc6091bd93e50	DEV	lltdio	lltdio	N/A	FILE_DEVICE_NETWORK
0xc6091bda2e40	DRV	CldFlt	N/A	N/A	N/A
* 0xc6091bda2e40	DEV	CldFlt	-	N/A	FILE_DEVICE_DISK_FILE_SYSTEM
0xc6091bdcede0	DRV	ACPI_HAL	N/A	N/A	N/A
* 0xc6091bdcede0	DEV	ACPI_HAL	0000000f	N/A	FILE_DEVICE_BUS_EXTENDER
** 0xc6091bdcede0	ATT	ACPI_HAL	-	\Driver\ACPI	FILE_DEVICE_ACPI
0xc6091c2d85d0	DRV	vmrawdsk	N/A	N/A	N/A
0xc6091c2debc0	DRV	DXGKrnl	N/A	N/A	N/A
* 0xc6091c2debc0	DEV	DXGKrnl	DxgKrnl	N/A	FILE_DEVICE_UNKNOWN
0xc6091c2dedd0	DRV	BasicDisplay	N/A	N/A	N/A
* 0xc6091c2dedd0	DEV	BasicDisplay	Video8	N/A	FILE_DEVICE_VIDEO
0xc6091c2df8f0	DRV	Npfs	N/A	N/A	N/A
* 0xc6091c2df8f0	DEV	Npfs	NamedPipe	N/A	FILE_DEVICE_NAMED_PIPE
** 0xc6091c2df8f0	ATT	Npfs	-	\FileSystem\FltMgr	FILE_DEVICE_NAMED_PIPE
0xc6091c2e08f0	DRV	Msfs	N/A	N/A	N/A
