0xc6091bcb6820  BcdSyncMutant
0xc6091c31f4b0  N/A
0xc6091c31f4c0  N/A
0xc6091c31f500  N/A
0xc6091c31f510  N/A
0xc6091c3b35b0  N/A
0xc6091c3b6df0  N/A
0xc6091c3b8b50  N/A
0xc6091c3be7d0  N/A
0xc6091c3c0710  N/A
0xc6091c3c08f0  N/A
0xc6091c3c0f30  N/A
0xc6091c3fdea0  N/A
0xc6091c3fed00  N/A
0xc6091c3fed60
0xc6091c3ff430  N/A
0xc6091c3ff440  N/A
0xc6091c3ff5b0  N/A
0xc6091c3ff5c0  N/A
0xc6091c7d5870  ZonesCacheCounterMutex
0xc6091c7d92f0  SM0:416:304:WilStaging_02
0xc6091c7da1f0  SM0:496:304:WilStaging_02
0xc6091c7da8b0  SM0:508:304:WilStaging_02
0xc6091c7dc470  SM0:572:304:WilStaging_02
0xc6091cd392d0  PendingRenameMutex
0xc6091ceedb50  SM0:2728:304:WilStaging_02
0xc6091fb24f70  SM0:956:304:WilStaging_02
0xc6091fb260b0  SessionImmersiveColorMutex
0xc6091fb2a2b0  SM0:896:304:WilStaging_02
0xc6091fb2a370  SM0:388:304:WilStaging_02
0xc6091fb2a7f0  SM0:412:304:WilStaging_02
0xc6091fb2adf0  SM0:716:304:WilStaging_02
0xc6091fb2c0b0  SM0:768:120:WilError_03
0xc6091fb2fb30  SM0:956:120:WilError_03
0xc6091fb33af0  SM0:1148:304:WilStaging_02
0xc6091fb63cc0  N/A
0xc6091fb65520  N/A
0xc6091fc87270  SM0:640:304:WilStaging_02
0xc6091fc87570  SM0:648:304:WilStaging_02
0xc6091fd090f0  SM0:768:304:WilStaging_02
0xc6091fd091b0  SM0:756:304:WilStaging_02
0xc6091fd096f0  SM0:748:304:WilStaging_02
0xc6091fd09870  SM0:496:120:WilError_03
0xc6091fd0a830  SM0:572:120:WilError_03
0xc6091fd94cb0  SM0:876:304:WilStaging_02
0xc6091fd975f0  {A3BD3259-3E4F-428a-84C8-F0463A9D3EB5}
0xc6092042fcc0  N/A
0xc60920430b20  N/A
0xc60920430c60  N/A
0xc60920432f60  N/A
0xc60920436fc0  N/A
0xc609204d15f0  SM0:412:120:WilError_03
0xc609204d2d30  SM0:1280:304:WilStaging_02
0xc609204d3570  DBWinMutex
0xc609204da470  SM0:1148:120:WilError_03
0xc609204dc6f0  SM0:1520:304:WilStaging_02
0xc609204dd0b0  SM0:1520:120:WilError_03
0xc609204dd3b0  AudioResourceAcquisitionMutex
0xc609204de1f0  SM0:1644:304:WilStaging_02
0xc609204de370  N/A
0xc609204f1400  N/A
0xc609204f1c20  N/A
0xc609205b3260  N/A
0xc609205b3300  N/A
0xc609205b3bc0  N/A
0xc609205b42a0  N/A
0xc609205b5420  N/A
0xc609205b6f00  N/A
0xc609205b7ae0  N/A
0xc609205b7b80  N/A
0xc609205b8c60  N/A
0xc6092067bbb0  Lsa_Perf_Library_Lock_PID_acc
0xc6092067e1f0  SM0:1644:120:WilError_03
0xc6092067e5b0  SM0:1704:304:WilStaging_02
0xc6092067ec70  SM0:1740:304:WilStaging_02
0xc60920680770  SM0:1820:304:WilStaging_02
0xc60920682ab0  MSDTC Bridge 3.0.0.0_Perf_Library_Lock_PID_acc
0xc60920682b70  PerfDisk_Perf_Library_Lock_PID_acc
0xc60920682c30  PerfOS_Perf_Library_Lock_PID_acc
0xc609206832f0  MSSCNTRS_Perf_Library_Lock_PID_acc
0xc609206838f0  LSM_Perf_Library_Lock_PID_acc
0xc609206839b0  MSDTC Bridge 4.0.0.0_Perf_Library_Lock_PID_acc
0xc60920683a70  PerfNet_Perf_Library_Lock_PID_acc
0xc60920683d70  MSDTC_Perf_Library_Lock_PID_acc
0xc609206841f0  PerfProc_Perf_Library_Lock_PID_acc
0xc60920685e70  rdyboost_Perf_Library_Lock_PID_acc
0xc609206862f0  RemoteAccess_Perf_Library_Lock_PID_acc
0xc60920686470  ServiceModelOperation 3.0.0.0_Perf_Library_Lock_PID_acc
0xc60920686830  ServiceModelEndpoint 3.0.0.0_Perf_Library_Lock_PID_acc
0xc609206869b0  ServiceModelService 3.0.0.0_Perf_Library_Lock_PID_acc
0xc60920686a70  SMSvcHost 3.0.0.0_Perf_Library_Lock_PID_acc
0xc60920687430  TapiSrv_Perf_Library_Lock_PID_acc
0xc60920687670  Tcpip_Perf_Library_Lock_PID_acc
0xc60920687970  TermService_Perf_Library_Lock_PID_acc
0xc60920687eb0  UGatherer_Perf_Library_Lock_PID_acc
0xc609206884b0  SMSvcHost 4.0.0.0_Perf_Library_Lock_PID_acc
0xc60920688630  Spooler_Perf_Library_Lock_PID_acc
0xc60920688db0  N/A
0xc60920688f30  WSearchIdxPi_Perf_Library_Lock_PID_acc
0xc60920689170  WmiApRpl_Perf_Library_Lock_PID_acc
0xc609206893b0  usbhub_Perf_Library_Lock_PID_acc
0xc60920689830  ZonesLockedCacheCounterMutex
0xc60920689cb0  N/A
0xc60920689ef0  UGTHRSVC_Perf_Library_Lock_PID_acc
0xc609206c4cc0  N/A
0xc609206ca760  N/A
0xc609206ccd80  N/A
0xc609208022b0  SM0:1992:304:WilStaging_02
0xc60920802670  SM0:1984:304:WilStaging_02
0xc60920805df0  SM0:896:120:WilError_03
0xc609208066f0  SM0:1984:120:WilError_03
0xc60920806b70  SM0:388:120:WilError_03
0xc60920853f00  N/A
0xc60920854860  N/A
0xc60920854d60  N/A
0xc60920855760  N/A
0xc609208559e0  N/A
0xc60920857240  N/A
0xc6092085a580  N/A
0xc6092085a620  N/A
0xc6092085b480  N/A
0xc6092085f120  N/A
0xc6092085f1c0  N/A
0xc6092085f760  N/A
0xc6092085f8a0  N/A
0xc6092093e930  SM0:2076:304:WilStaging_02
0xc609209455f0  SM0:2176:304:WilStaging_02
0xc609209458f0  SM0:1624:304:WilStaging_02
0xc6092094a9f0  SM0:2184:304:WilStaging_02
0xc609209c3940  N/A
0xc609209c3a80  N/A
0xc609209c3b20  N/A
0xc609209c40c0  N/A
0xc609209c4480  N/A
0xc609209c6d20  N/A
0xc609209c7180  N/A
0xc609209c75e0  N/A
0xc609209c83a0  N/A
0xc609209c8440  N/A
0xc609209c8580  N/A
0xc609209c8620  N/A
0xc609209c8ee0  N/A
0xc609209c9160  N/A
0xc609209c9480  N/A
0xc609209c95c0  N/A
0xc609209c9ca0  N/A
0xc609209ca2e0  N/A
0xc609209ca420  N/A
0xc609209cc180  N/A
0xc609209cc860  N/A
0xc609209cd6c0  N/A
0xc609209d00a0  N/A
0xc609209d2760  N/A
0xc609209dda60  SM0:2076:120:WilError_03
0xc609209e2ce0  SM0:6896:304:WilStaging_02
0xc609209e7ea0  SM0:716:120:WilError_03
0xc609209f73e0  .NET CLR Data_Perf_Library_Lock_PID_acc
0xc609209f7620  .NET Memory Cache 4.0_Perf_Library_Lock_PID_acc
0xc609209f76e0  .NETFramework_Perf_Library_Lock_PID_acc
0xc609209f7c20  .NET CLR Networking_Perf_Library_Lock_PID_acc
0xc609209f7f20  .NET Data Provider for Oracle_Perf_Library_Lock_PID_acc
0xc609209f8220  .NET CLR Networking 4.0.0.0_Perf_Library_Lock_PID_acc
0xc609209f88e0  N/A
0xc609209f89a0  ESENT_Perf_Library_Lock_PID_acc
0xc609209f8ee0  BITS_Perf_Library_Lock_PID_acc
0xc60920bb2d00  N/A
0xc60920bb8de0  N/A
0xc60920bbbea0  N/A
0xc60920d32520  SM0:2840:304:WilStaging_02
0xc60920d32760  SM0:2884:304:WilStaging_02
0xc60920d32ee0  SM0:2764:304:WilStaging_02
0xc60920d33f60  SM0:2728:120:WilError_03
0xc60920d37b60  Installing
0xc60920d38760  MSDTC_STATS_EVENT
0xc60920d47760  SM0:776:304:WilStaging_02
0xc60920d49860  SM0:1292:304:WilStaging_02
0xc60920d4a460  SM0:1972:304:WilStaging_02
0xc60920d4ab20  SM0:776:120:WilError_03
0xc60920d4aee0  SM0:876:120:WilError_03
0xc60920d4c6e0  SM0:1972:120:WilError_03
0xc60920d4c860  SM0:3208:304:WilStaging_02
0xc60920d4d220  SM0:1292:120:WilError_03
0xc60920d4db20  CicLoadWinStaWinSta0
0xc60920d4dee0  MSCTF.CtfMonitorInstMutexDefault1
0xc60920d4e120  InputServiceHostMutex
0xc60920d4e5a0  MSCTF.CtfWatchdogInstMutex1
0xc60920d4ef60  MSCTF.CtfServerMutexDefault1
0xc60920e4be20  N/A
0xc60920e4dae0  N/A
0xc60920e4de00  N/A
0xc60920e51820  N/A
0xc60920e57ae0  N/A
0xc60920e5ee80  N/A
0xc60920e60a00  N/A
0xc60920e60b40  N/A
0xc60920e66180  N/A
0xc60920e67300  N/A
0xc609210072a0  AccessibilitySoundAgentRunning
0xc609210077e0  SM0:3208:120:WilError_03
0xc6092100fee0  SM0:3440:304:WilStaging_02
0xc609210111a0  MSCTF.Asm.MutexDefault1
0xc60921016660  SM0:3440:120:WilError_03
