TID	PID	Length	UID	FC	SessionID	RR/Sta	Address		Data Size
0095	0000	000a	01	5a	00		28	8487	0000	ec00
009d	0000	000a	01	5a	00		28	e48e	0000	ec00
00a6	0000	000a	01	5a	00		28	3097	0000	ec00
00ac	0000	000a	01	5a	00		28	b89c	0000	ec00
00b4	0000	000a	01	5a	00		28	18a4	0000	ec00
00c4	0000	000a	01	5a	00		28	d8b2	0000	ec00
00cc	0000	000a	01	5a	00		28	38ba	0000	ec00
00ce	0000	000a	01	5a	00		28	10bc	0000	ec00
015c	0000	000a	01	5a	00		28	f83e	0107	ec00
0165	0000	000a	01	5a	00		28	4447	0107	ec00
0172	0000	000a	01	5a	00		28	4053	0107	ec00
0185	0000	000a	01	5a	00		28	c464	0107	ec00
018f	0000	000a	01	5a	00		28	fc6d	0107	ec00
0195	0000	000a	01	5a	00		28	8473	0107	ec00
019a	0000	000a	01	5a	00		28	2078	0107	ec00
022f	0000	000a	01	5a	00		28	7c01	0207	ec00

not modbus
015c	0000	000a	01	5a	00		28	f83e		0107	ec00
0165	0000	000a	01	5a	00		28	4447		0107	ec00
00ab	0000	000a	01	5a	00		28	cc9b		0000	ec00
0185	0000	00f2	01	5a	00		fe	ec00		0000	0000
0184	0000	000a	01	5a	00		28	d863		0107	ec00
0172	0000	000a	01	5a	00		28	4053		0107	ec00
00c4	0000	000a	01	5a	00		28	d8b2		0000	ec00
00cc	0000	000a	01	5a	00		28	38ba		0000	ec00
00d6	0000	00f2	01	5a	00		fe	ec00		ec9c	2845
019a	0000	000a	01	5a	00		28	2078		0e5d	8842
