TID	PID	Length	UID	FC	SessionID	RR/Sta	Address		Data Size
008d	0000	000a	01	5a	00		28	2480	0000	ec00
0091	0000	000a	01	5a	00		28	d483	0000	ec00
00a0	0000	000a	01	5a	00		28	a891	0000	ec00
00a9	0000	000a	01	5a	00		28	f499	0000	ec00
00ab	0000	000a	01	5a	00		28	cc9b	0000	ec00
00bc	0000	000a	01	5a	00		28	78ab	0000	ec00
00be	0000	000a	01	5a	00		28	50ad	0000	ec00
00c2	0000	000a	01	5a	00		28	00b1	0000	ec00
00c4	0000	000a	01	5a	00		28	d8b2	0000	ec00
00c7	0000	000a	01	5a	00		28	9cb5	0000	ec00
00d5	0000	000a	01	5a	00		28	84c2	0000	ec00
0156	0000	000a	01	5a	00		28	7039	0100	ec00

not modbus
00a8	0000	000a	01	5a	00		28	0899	0000	ec00
00a6	0000	000a	01	5a	00		28	3097	0000	ec00
00a6	0000	000a	01	5a	00		28	3097	0000	ec00
00ba	0000	000a	01	5a	00		28	a0a9	0000	ec00
00bf	0000	000a	01	5a	00		28	3cae	0000	ec00
00be	0000	000a	01	5a	00		28	50ad	0000	ec00
00c3	0000	000a	01	5a	00		28	ecb1	0000	ec00
00ba	0000	000a	01	5a	00		28	a0a9	0000	ec00
00be	0000	000a	01	5a	00		28	50ad	0000	ec00

